Partlist

Exported from tinyPipes-tinyComponents.brd at 1/12/14 2:02 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part      Value               Package         Library             Position (mm)         Orientation

ANT1                          4P-U-FL         Connector           (55.29 16.74)         R0
B+        TINYPIPES_BATTBATT  TINYPIPES_BATT  tinyPipes v2.6      (30.734 56.388)       R0
B-        TINYPIPES_BATTBATT  TINYPIPES_BATT  tinyPipes v2.6      (22.225 49.53)        R0
BATTERY   PTR1B2,54           B2,54           testpad             (19 26.5)             MR0
BM        TINYPIPES_BATTSBATT TINYPIPES_SBATT tinyPipes v2.6      (24.003 42.291)       R0
BP        TINYPIPES_BATTSBATT TINYPIPES_SBATT tinyPipes v2.6      (27.972 42.489)       R0
C1        22pF                C0201           rcl                 (14.939 43.462)       R90
C2        16V 10uF            AVX-A           Discrete            (7.493 32.893)        R180
C3        470uF 6.3V          AVX-D           Discrete            (53.3895 36.953)      R180
C4        10uF                C0402           rcl                 (57.032 32.737)       R90
C5        100nF               C0402           rcl                 (55.157 32.864)       R90
C6        100nF               C0402           rcl                 (25.173 45.169)       R90
C7        100nF               C0402           rcl                 (6.866 34.346)        R0
C8        100nF               C0402           rcl                 (10.16 37.084)        R180
C9        100nF               C0402           rcl                 (53.603 32.864)       R90
C10       100nF               C0402           rcl                 (44.815 36.393)       R90
C11       10uF                C0402           rcl                 (55.513 48.5555)      R180
C12       100nF               C0402           rcl                 (36.624 36.393)       R90
C13       100nF               C0402           rcl                 (34.557 35.297)       R0
C14       100nF               C0402           rcl                 (34.577 34.145)       R0
C15       16V 10uF            AVX-A           Discrete            (25.511 18.034)       R90
C16       22pF                C0201           rcl                 (15.561 43.476)       R90
C17       100nF               C0402           rcl                 (11.637 33.45)        R270
C18       100nF               C0402           rcl                 (23.288 33.45)        R270
C19       10uF                C0805           Discrete            (53.848 11.176)       R90
C20       100nF               C0603           Discrete            (25.8275 13.1665)     R90
C21       100nF               C0402           rcl                 (57.15 11.303)        R90
C22       100nF               C0402           rcl                 (55.626 11.303)       R90
C23       100nF               C0402           rcl                 (31.204 45.291)       R270
C24       100nF               C0402           rcl                 (46.3665 48.682)      R90
C25       100nF               C0402           rcl                 (26.515 45.16)        R90
C26       0.1uF               C0402           rcl                 (27 34)               R180
D2        SS54                SMB             diode               (45.742 55.886)       R180
D4        SS54                SMB             diode               (36.3 55.88)          R180
D8        SS54                SMB             Discrete            (46.577 41.876)       R90
DTR       PTR1B2,54           B2,54           testpad             (9 3)                 MR0
F1                            0210            tinyPipes v2.6      (31.369 52.07)        R0
F2                            0210            tinyPipes v2.6      (2.731 53.213)        R90
GND       PTR1B2,54           B2,54           testpad             (9 12)                MR0
GND2      PTR1B2,54           B2,54           testpad             (14 3)                MR0
GND3      PTR1B2,54           B2,54           testpad             (19 3)                MR0
GND11     PTR1B2,54           B2,54           testpad             (9 26.5)              MR0
L1        10uH                L0630           Discrete            (53.727 42.6655)      R0
LOAD_FET  PTR1B2,54           B2,54           testpad             (19 12)               MR0
MISO      PTR1B2,54           B2,54           testpad             (14 17)               MR0
MOSI      PTR1B2,54           B2,54           testpad             (14 22)               MR0
NETLIGHT                      LED-0603        Discrete            (2.589 39.482)        R270
OUT+      TINYPIPES_BATTBATT  TINYPIPES_BATT  tinyPipes v2.6      (2.683 46.8)          R0
OUT-      TINYPIPES_BATTBATT  TINYPIPES_BATT  tinyPipes v2.6      (22.225 52.578)       R0
PANEL     PTR1B2,54           B2,54           testpad             (14 26.5)             MR0
PANEL+    TINYPIPES_BATTPANEL TINYPIPES_PANEL tinyPipes_v2.5      (40.504 49.928)       R180
PANEL-    TINYPIPES_BATTPANEL TINYPIPES_PANEL tinyPipes_v2.5      (18.438 49.928)       R180
POWER                         LED-0603        Discrete            (0.97 39.482)         R270
Q1        CJ2302              SOT23           Discrete            (41.529 36.449)       R0
Q2        IRF5305             TO263           transistor-power    (9.382 50.097)        R180
Q3        CJ2302              SOT23           Discrete            (15.216 53.978)       R0
Q5        S9013               SOT23           Discrete            (7.329 37.116)        R270
Q6        S9013               SOT23           Discrete            (2.809 33.678)        R270
Q7        S9013               SOT23           Discrete            (47.852 32.601)       R0
R1        10k                 R0201           rcl                 (1.03 37.388)         R90
R2        100k                R0201           rcl                 (48.712 30.438)       R270
R3        10k                 R0201           rcl                 (10.671 36.08)        R180
R4        100k                R0201           rcl                 (55.226 49.765)       R0
R5        10k, 1%             R0201           rcl                 (55.08 47.483)        R0
R6        24k, 1%             R0201           rcl                 (55.06 46.93)         R0
R7        10k                 R0201           rcl                 (45.913 36.738)       R270
R8        10k                 R0201           rcl                 (30.575 48.408)       R270
R9        10k                 R0201           rcl                 (43.572 36.4095)      R90
R10       100k                R0201           rcl                 (39.185 36.4415)      R270
R11       10k                 R0201           rcl                 (37.736 36.478)       R270
R12       1k                  R0201           rcl                 (46.939 30.45)        R270
R13       100k                R0201           rcl                 (0.758 33.5855)       R90
R14       100k                R0201           rcl                 (5.229 36.972)        R90
R15       10k                 R0201           rcl                 (4.208 37.418)        R270
R16       10k                 R0201           rcl                 (2.589 37.338)        R270
R17       22R                 R0201           rcl                 (24.683 8.199)        R0
R18       22R                 R0201           rcl                 (24.683 8.962)        R0
R19       22R                 R0201           rcl                 (24.669 9.618)        R180
R20       1k                  R0201           rcl                 (11.94 39.752)        R0
R21       1k                  R0201           rcl                 (11.97 38.938)        R0
R22       1k                  R0201           rcl                 (38.465 36.449)       R90
R23       10k                 R0201           rcl                 (31.249 48.388)       R270
R24       39k, 1%             R0201           rcl                 (24.757 47.556)       R90
R25       10k, 1%             R0201           rcl                 (25.5995 47.5575)     R90
R26       39k, 1%             R0201           rcl                 (26.4455 47.557)      R90
R27       10k, 1%             R0201           rcl                 (22.5965 47.057)      R270
R28       10k                 R0201           rcl                 (18.796 54.991)       R90
R29       100k                R0201           rcl                 (15.272 51.918)       R180
R30       1k                  R0201           rcl                 (15.292 51.071)       R0
R31       4.7k                R0201           rcl                 (31.5 37)             R0
R32       4.7k                R0201           rcl                 (31.5 35.5)           R0
RSENSE    0.003, 1%           R2512           Discrete            (34.627 43.386)       R270
RSENSE1   0.003, 1%           R2512           Discrete            (24.638 56.388)       R180
RST       PTR1B2,54           B2,54           testpad             (14 12)               MR0
RST1      PTR1B2,54           B2,54           testpad             (19 7.5)              MR0
RX        PTR1B2,54           B2,54           testpad             (19 22)               MR0
SCK       PTR1B2,54           B2,54           testpad             (9 22)                MR0
SCK1      PTR1B2,54           B2,54           testpad             (14 7.5)              MR0
SIMHOLDER SIMHOLDER3          SIMHOLDER3      SparkFun2           (22.32 2.012)         R90
STATUS                        LED-0603        Discrete            (4.208 39.482)        R270
TTL                           1X06_LOCK       SparkFun-Connectors (2.6 16.7)            R90
TX        PTR1B2,54           B2,54           testpad             (19 17)               MR0
U1        TD1410              SOP8            template            (50.764 49.021)       R270
U2        ICS_V54_SIM900      ICS_V54_SIM900  tinyPipes v2.2      (39.78 16.74)         R270
U3        ATMEGA168           TQFP32-08       SparkFun            (17.758 37.744)       R270
U4        MAX4372             SOT23-5         tinyPipes           (22.826 45.268)       R0
U5        SI4435POWER         SO8_FET         tinyPipes           (40.858 42.42)        R180
U6        MAX4372             SOT23-5         tinyPipes           (28.956 45.339)       R0
U7        EEPROM-I2CSMD       SO08            SparkFun-DigitalIC  (27 37.5)             R270
VCC       PTR1B2,54           B2,54           testpad             (9 17)                MR0
VCC1      PTR1B2,54           B2,54           testpad             (9 7.5)               MR0
X1                            2P-SMD-5X3.2    Discrete            (17.938 46.101)       R180
